"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"USP32",1.02836135523844e-75,1.3305152602853,0.878,0.33,3.49786831370804e-71,"CM5","USP32"
"AL008633.1",1.36544811135916e-75,1.82944293043278,0.646,0.197,4.64443520597704e-71,"CM5","AL008633.1"
"UTRN",2.6826085119471e-75,1.21647895300417,0.983,0.595,9.12462459253688e-71,"CM5","UTRN"
"ARFGAP3",3.27319814738101e-75,0.979628855648303,0.592,0.145,1.11334561785018e-70,"CM5","ARFGAP3"
"IFNAR2",4.04212765248218e-75,1.57673938997253,0.371,0.067,1.37488929971529e-70,"CM5","IFNAR2"
"SHROOM4",6.23013803657417e-75,1.82899088511142,0.371,0.068,2.11911915176034e-70,"CM5","SHROOM4"
"CCN5",8.23164962433704e-75,1.57384069185142,0.418,0.085,2.799913303222e-70,"CM5","CCN5"
"KCNK1",8.32323542315664e-75,1.36236121065276,0.752,0.241,2.8310652968325e-70,"CM5","KCNK1"
"BCL7A",1.10812545189392e-74,1.45576926012235,0.548,0.135,3.76917791207197e-70,"CM5","BCL7A"
"PMM2",1.31859838471303e-74,1.34020586833155,0.554,0.136,4.48508054576291e-70,"CM5","PMM2"
"BCR",1.63768089829252e-74,1.22273351229351,0.534,0.128,5.57040780745217e-70,"CM5","BCR"
"TMEM87B",3.22315059236402e-74,1.4747849570156,0.384,0.072,1.0963224424867e-69,"CM5","TMEM87B"
"GNAO1",5.28145827164594e-74,2.12807363948544,0.303,0.047,1.79643521651765e-69,"CM5","GNAO1"
"ST3GAL4",1.1521822285001e-73,1.21010026774753,0.633,0.172,3.91903263202025e-69,"CM5","ST3GAL4"
"PLAAT3",1.28182686022058e-73,1.20233136039502,0.646,0.177,4.36000588235427e-69,"CM5","PLAAT3"
"REP15",2.4636996538813e-73,2.7746788939157,0.19,0.019,8.38002800271185e-69,"CM5","REP15"
"LINC01619",2.1370058728935e-72,1.46934061396499,0.52,0.128,7.26881177605997e-68,"CM5","LINC01619"
"WIPF2",2.28438413529111e-72,1.1210693238893,0.643,0.174,7.77010419777918e-68,"CM5","WIPF2"
"MYO1D",9.17234745647755e-72,1.96287056806952,0.633,0.198,3.11988226384627e-67,"CM5","MYO1D"
"TCEA3",1.26408251034841e-71,1.2904091100004,0.721,0.222,4.29965025069908e-67,"CM5","TCEA3"
"CDK17",1.84239050564194e-71,1.2242768227384,0.721,0.22,6.2667070658905e-67,"CM5","CDK17"
"CELSR1",2.20257904794449e-71,1.23587265346572,0.52,0.125,7.49185237367837e-67,"CM5","CELSR1"
"TRIOBP",4.19304385967582e-71,1.1283870187132,0.687,0.2,1.42622193843013e-66,"CM5","TRIOBP"
"ATP2B4",5.54770276984164e-71,1.57092041617378,0.939,0.504,1.88699562013393e-66,"CM5","ATP2B4"
"XRCC4",6.21312997113344e-71,1.89690300279207,0.554,0.15,2.11333402838133e-66,"CM5","XRCC4"
"ITGB5",6.41176214569659e-71,1.33590570421447,0.643,0.183,2.18089677623724e-66,"CM5","ITGB5"
"AL590814.1",1.02535029287067e-70,2.05069714945877,0.449,0.105,3.48762648617031e-66,"CM5","AL590814.1"
