"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TATDN3",2.90029720134333e-12,0.719410212460055,0.067,0.033,9.86507090064921e-08,"Peds_Ctrl","TATDN3"
"NOL11",2.95623157999055e-12,0.689898808725671,0.088,0.048,1.00553260961799e-07,"Peds_Ctrl","NOL11"
"PDHB",2.95765158422205e-12,0.909178807777707,0.073,0.037,1.00601560985729e-07,"Peds_Ctrl","PDHB"
"MAF1",2.99295193542829e-12,1.23407339350996,0.053,0.024,1.01802267131658e-07,"Peds_Ctrl","MAF1"
"LINC02062",3.02156957385224e-12,0.66945487561763,0.1,0.057,1.0277566748501e-07,"Peds_Ctrl","LINC02062"
"PISD",3.11129474180799e-12,0.605888131899563,0.109,0.063,1.05827579347857e-07,"Peds_Ctrl","PISD"
"CYB5R1",3.29087009204812e-12,1.13501566163892,0.053,0.024,1.11935655310925e-07,"Peds_Ctrl","CYB5R1"
"PKIA",3.30057645010877e-12,0.927335745732429,0.05,0.022,1.12265807374e-07,"Peds_Ctrl","PKIA"
"EFNB1",3.41491116618555e-12,1.05530914510116,0.087,0.048,1.16154788406635e-07,"Peds_Ctrl","EFNB1"
"RPL35",3.48616360126451e-12,0.515010713678087,0.2,0.136,1.18578368733411e-07,"Peds_Ctrl","RPL35"
"NEMP1",3.49597759111176e-12,0.77761784080892,0.08,0.042,1.18912181784075e-07,"Peds_Ctrl","NEMP1"
"RBM23",3.58161386207076e-12,0.528725835073843,0.132,0.081,1.21825013904475e-07,"Peds_Ctrl","RBM23"
"BUB3",3.64019782486938e-12,0.734778596826589,0.103,0.06,1.23817688815107e-07,"Peds_Ctrl","BUB3"
"SEPSECS",3.84192754611168e-12,0.70748594280222,0.079,0.042,1.30679323553443e-07,"Peds_Ctrl","SEPSECS"
"DNPEP",3.87666892205835e-12,0.883813163427018,0.074,0.038,1.31861016714893e-07,"Peds_Ctrl","DNPEP"
"SSH1",3.93369039515269e-12,0.507833307666983,0.346,0.266,1.33800545100724e-07,"Peds_Ctrl","SSH1"
"NR1H2",3.99557989579383e-12,0.800075163129988,0.081,0.043,1.35905654575531e-07,"Peds_Ctrl","NR1H2"
"IFT172",4.02351862437056e-12,0.56239230148111,0.081,0.043,1.3685596248934e-07,"Peds_Ctrl","IFT172"
"KAT7",4.09449712011236e-12,0.593230795718438,0.127,0.078,1.39270225043502e-07,"Peds_Ctrl","KAT7"
"COX6A2",4.10517160458002e-12,0.644849381640022,0.209,0.147,1.39633306958185e-07,"Peds_Ctrl","COX6A2"
"RAD23A",4.12510117030228e-12,0.713991132805533,0.128,0.079,1.40311191206662e-07,"Peds_Ctrl","RAD23A"
"MKNK1",4.14329166040624e-12,0.516788758027808,0.122,0.073,1.40929922537058e-07,"Peds_Ctrl","MKNK1"
"GTPBP6",4.19548512639765e-12,0.838126137696582,0.073,0.037,1.4270523108929e-07,"Peds_Ctrl","GTPBP6"
"MAP2K7",4.30165529274225e-12,0.853364112509757,0.058,0.027,1.46316503127335e-07,"Peds_Ctrl","MAP2K7"
"AL109811.2",4.34913505451538e-12,1.21041860457347,0.053,0.024,1.47931479744286e-07,"Peds_Ctrl","AL109811.2"
"AKIRIN2",4.51193274305859e-12,0.652166987587455,0.092,0.051,1.53468880322395e-07,"Peds_Ctrl","AKIRIN2"
"GARNL3",4.55749065341411e-12,0.660405469108035,0.097,0.055,1.55018487085227e-07,"Peds_Ctrl","GARNL3"
"CTDSP2",4.58045796755827e-12,0.539179671757651,0.157,0.101,1.55799697308527e-07,"Peds_Ctrl","CTDSP2"
"XPO5",4.67318501668407e-12,0.5349413717635,0.079,0.041,1.58953715157492e-07,"Peds_Ctrl","XPO5"
"TMEM209",4.70523222309584e-12,0.720671210602017,0.074,0.038,1.60043768836382e-07,"Peds_Ctrl","TMEM209"
"DEPP1",4.79578862852008e-12,0.683500147131753,0.068,0.034,1.63123954410482e-07,"Peds_Ctrl","DEPP1"
"ERCC4",4.90638589294533e-12,0.813221811180749,0.073,0.037,1.66885809762642e-07,"Peds_Ctrl","ERCC4"
"ZFP36",5.22593225241856e-12,0.916772842424067,0.217,0.158,1.77754859633765e-07,"Peds_Ctrl","ZFP36"
