"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FMNL2",2.1309432546654e-55,0.849139488552388,0.602,0.353,7.2481903864189e-51,"MP2","FMNL2"
"RASSF41",3.50031187626235e-55,1.21226758169269,0.465,0.238,1.19059608159188e-50,"MP2","RASSF4"
"DNM1",2.94399602701792e-54,2.23679090084501,0.219,0.056,1.00137080862988e-49,"MP2","DNM1"
"BCAT1",4.19316513838962e-54,1.27570235533053,0.445,0.224,1.42626319017185e-49,"MP2","BCAT1"
"PDK4",1.03148281321158e-53,1.46211495905775,0.489,0.262,3.50848564085787e-49,"MP2","PDK4"
"MVB12B",1.23311486264699e-53,1.13929555068779,0.494,0.262,4.19431689380748e-49,"MP2","MVB12B"
"TET31",2.09019709472124e-53,1.0003690832548,0.581,0.351,7.10959639798484e-49,"MP2","TET3"
"FCHO21",2.09402809512035e-53,0.896457840768783,0.562,0.322,7.12262716274235e-49,"MP2","FCHO2"
"NCOA4",4.73864311835979e-53,1.70109727503041,0.338,0.139,1.6118020702789e-48,"MP2","NCOA4"
"APBA1",5.5814563099199e-53,1.77877725291507,0.31,0.117,1.89847654925615e-48,"MP2","APBA1"
"EVI51",8.42472830541911e-53,1.10248536913889,0.533,0.315,2.86558708580526e-48,"MP2","EVI5"
"AL078600.1",8.72462559846455e-53,1.86379737178856,0.295,0.107,2.96759415106173e-48,"MP2","AL078600.1"
"WASHC4",9.526318584924e-53,1.09791977270854,0.546,0.323,3.24028200347605e-48,"MP2","WASHC4"
"ROR1",1.73388778103667e-52,2.55701621626188,0.195,0.043,5.89764589841814e-48,"MP2","ROR1"
"SOX5",2.08201224258121e-52,2.12728177496423,0.256,0.082,7.08175644191573e-48,"MP2","SOX5"
