"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLD1",2.14393704808302e-41,0.623684012043156,0.641,0.577,7.29238747534958e-37,"FB2","PLD1"
"PLPP31",5.14964288543631e-41,0.704414337799028,0.44,0.32,1.75159953105231e-36,"FB2","PLPP3"
"LINGO2",8.795897271345e-41,1.80333628801499,0.133,0.054,2.99183649787529e-36,"FB2","LINGO2"
"LRRTM4",9.39263716040262e-41,1.40556335575302,0.202,0.104,3.19481160373935e-36,"FB2","LRRTM4"
"FOXP21",1.52687299924382e-40,0.509468607408715,0.651,0.553,5.19350581962794e-36,"FB2","FOXP2"
"MME",2.08846981509196e-40,1.28250847121494,0.173,0.081,7.10372122905378e-36,"FB2","MME"
"BMPER1",3.10283319844355e-40,1.40610880769459,0.168,0.079,1.05539768411859e-35,"FB2","BMPER"
"SRPX",4.71881660379628e-40,0.8262593865811,0.43,0.317,1.60505827961527e-35,"FB2","SRPX"
"EDNRB1",7.61121029229005e-40,0.923779101419879,0.29,0.178,2.58887706881954e-35,"FB2","EDNRB"
"NDST4",5.91224162786704e-39,2.64625929623528,0.057,0.009,2.0109898673027e-34,"FB2","NDST4"
"MUSK",1.53825604962805e-37,0.676163158893402,0.572,0.491,5.23222412720485e-33,"FB2","MUSK"
"TFPI1",6.51296423270648e-37,0.4293686122693,0.749,0.722,2.21531965411278e-32,"FB2","TFPI"
"LINC01088",1.19047581216024e-35,0.722746555845305,0.497,0.396,4.04928442748184e-31,"FB2","LINC01088"
"RBFOX1",2.76883334589468e-35,0.491054175989594,0.408,0.29,9.41790974272618e-31,"FB2","RBFOX1"
"AC093535.1",5.77096405509239e-35,1.22985736609999,0.202,0.111,1.96293571369912e-30,"FB2","AC093535.1"
"SNTB1",1.4717813816522e-34,1.00488513942564,0.324,0.226,5.00611719155178e-30,"FB2","SNTB1"
"FP236383.31",2.19393697426652e-34,0.738149242923722,0.229,0.13,7.46245722427015e-30,"FB2","FP236383.3"
"LINC01515",4.61162588725107e-34,1.05339241545202,0.239,0.143,1.56859842928958e-29,"FB2","LINC01515"
"DIO3OS",7.41367695734199e-34,1.38039498206735,0.11,0.043,2.5216880802703e-29,"FB2","DIO3OS"
"FRMPD4",2.13468858871209e-33,2.39733825340586,0.079,0.025,7.26092976564529e-29,"FB2","FRMPD4"
"OPHN11",1.3776977413751e-32,0.558572729786553,0.574,0.499,4.68610109751326e-28,"FB2","OPHN1"
"GRAMD2B",2.2896413912975e-32,0.877405211282538,0.375,0.28,7.78798622835932e-28,"FB2","GRAMD2B"
"NOVA11",2.66401997249529e-32,0.637514768157042,0.429,0.323,9.06139753444549e-28,"FB2","NOVA1"
"TMTC1",3.60192377353056e-32,0.737596603009846,0.416,0.315,1.22515835232869e-27,"FB2","TMTC1"
"SPATA6",4.60644347310679e-32,0.374459645818966,0.755,0.721,1.56683568294254e-27,"FB2","SPATA6"
"C8orf34",4.62190305065987e-32,1.48922185433027,0.172,0.092,1.57209410365145e-27,"FB2","C8orf34"
"LINC01807",5.10748077395591e-32,0.907269919755841,0.322,0.224,1.73725851045336e-27,"FB2","LINC01807"
"AC012404.1",9.28220576332431e-32,1.12099262361435,0.367,0.278,3.15724946833713e-27,"FB2","AC012404.1"
"FAM198B-AS1",2.46881276087826e-31,0.762152862567382,0.498,0.416,8.39741972485133e-27,"FB2","FAM198B-AS1"
"TNFRSF211",8.14061951735348e-30,1.19310593995848,0.159,0.083,2.76895032263261e-25,"FB2","TNFRSF21"
"GLIS3",8.4779354782093e-30,0.420632471291331,0.783,0.757,2.88368497355811e-25,"FB2","GLIS3"
"USP541",3.95982829601458e-29,0.562432858540401,0.491,0.4,1.3468959966064e-24,"FB2","USP54"
"SYNPO2",4.72293455674431e-29,0.429869739186133,0.76,0.736,1.60645896013101e-24,"FB2","SYNPO2"
"COLEC12",4.83763093635557e-29,0.824395205510114,0.356,0.261,1.64547178669199e-24,"FB2","COLEC12"
"EYS",8.34106108485433e-29,1.53634851894751,0.25,0.168,2.83712851740235e-24,"FB2","EYS"
"RORA",1.06519413624379e-28,0.21918254747837,0.971,0.961,3.62315133501963e-24,"FB2","RORA"
"LAMA21",5.46819121141453e-28,0.166288706487036,0.988,0.988,1.85995055865054e-23,"FB2","LAMA2"
"ZEB1",1.05609886804311e-27,0.368544679073291,0.785,0.758,3.59221468976182e-23,"FB2","ZEB1"
"TMTC21",1.51909873463098e-27,0.856835036303476,0.341,0.25,5.16706243597381e-23,"FB2","TMTC2"
"AC006007.1",1.54975576707388e-27,1.57527417258086,0.101,0.043,5.27133926612511e-23,"FB2","AC006007.1"
"GLUL1",7.20527726018155e-27,0.692085530236661,0.378,0.286,2.45080300727815e-22,"FB2","GLUL"
"AC119674.1",7.7637378557521e-27,0.946415751893029,0.319,0.233,2.64075779425552e-22,"FB2","AC119674.1"
"AC002546.11",1.3171307906881e-26,0.987441780152333,0.225,0.143,4.48008867144649e-22,"FB2","AC002546.1"
"THSD7A",2.80993110689067e-26,0.826002779205961,0.325,0.236,9.55769966697792e-22,"FB2","THSD7A"
"TGFBR31",6.05351308045948e-26,0.476899157753508,0.52,0.438,2.05904193918749e-21,"FB2","TGFBR3"
"NEURL1B",6.06991339534829e-26,0.734621648553936,0.339,0.25,2.06462034229377e-21,"FB2","NEURL1B"
"DOCK5",7.34648258765804e-26,0.682232963166446,0.477,0.408,2.49883258736601e-21,"FB2","DOCK5"
"SMIM3",1.07174696627904e-25,0.99082451810079,0.232,0.151,3.64544013110152e-21,"FB2","SMIM3"
"NCAM21",1.5268685185155e-25,0.4688045405893,0.591,0.511,5.19349057887861e-21,"FB2","NCAM2"
"EPHA5",1.98891458750117e-25,1.38965968176448,0.12,0.059,6.76509407792646e-21,"FB2","EPHA5"
"LINC00989",2.98623409729335e-25,0.941326840701121,0.217,0.137,1.01573766585336e-20,"FB2","LINC00989"
"LIMD1",3.45639999218217e-25,1.13708615113138,0.287,0.21,1.17565989334084e-20,"FB2","LIMD1"
"KCNN3",6.86411437066575e-25,1.53435736195731,0.149,0.084,2.33475986203825e-20,"FB2","KCNN3"
"AC007877.1",8.55292820700679e-25,1.34813513557516,0.117,0.057,2.90919300033129e-20,"FB2","AC007877.1"
"LPCAT21",1.5219034110705e-24,0.791563494164012,0.279,0.195,5.1766022624152e-20,"FB2","LPCAT2"
"EFCC1",6.19323661102407e-24,1.64863657353049,0.114,0.057,2.10656750087373e-19,"FB2","EFCC1"
"AC007319.11",9.36747555458928e-24,0.464753240972074,0.687,0.626,3.186253135138e-19,"FB2","AC007319.1"
