"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PDHB",1.12205287294395e-36,1.09835469644451,0.145,0.056,3.81655064203155e-32,"Peds_Ctrl","PDHB"
"PFKFB3",1.22831486962174e-36,0.767870219140872,0.183,0.08,4.17799019753139e-32,"Peds_Ctrl","PFKFB3"
"RPS6KL1",1.3351063321002e-36,1.33048278289367,0.128,0.045,4.54123067800562e-32,"Peds_Ctrl","RPS6KL1"
"NDUFB7",1.33650267715115e-36,0.808958289961388,0.187,0.085,4.54598020606193e-32,"Peds_Ctrl","NDUFB7"
"CSMD1",1.41929960813155e-36,2.84832803960422,0.074,0.014,4.82760568709865e-32,"Peds_Ctrl","CSMD1"
"EHHADH",1.49405149457473e-36,0.889283957870705,0.186,0.082,5.08186675364648e-32,"Peds_Ctrl","EHHADH"
"HINT2",1.51945852139744e-36,1.91465947258008,0.097,0.026,5.16828621468126e-32,"Peds_Ctrl","HINT2"
"RMDN3",1.57901848834127e-36,0.774396433345495,0.152,0.058,5.37087348624398e-32,"Peds_Ctrl","RMDN3"
"ADSS",1.65239112163855e-36,0.661970777939086,0.196,0.089,5.62044316114136e-32,"Peds_Ctrl","ADSS"
"ZNF746",1.66586416193426e-36,1.55391557074867,0.109,0.034,5.66627036040319e-32,"Peds_Ctrl","ZNF746"
"TTI1",1.8852060269411e-36,0.687572612923371,0.193,0.087,6.41233978003746e-32,"Peds_Ctrl","TTI1"
"SNRNP40",2.10293713823847e-36,0.674929133423382,0.219,0.106,7.15293038200435e-32,"Peds_Ctrl","SNRNP40"
"FDPS",2.19078108357545e-36,0.758608300436157,0.148,0.056,7.45172277767354e-32,"Peds_Ctrl","FDPS"
"FGFR1OP2",2.19533032031371e-36,0.628041351199938,0.232,0.114,7.46719655151504e-32,"Peds_Ctrl","FGFR1OP2"
"GPD2",2.24962211790586e-36,0.528306419315647,0.256,0.132,7.651864671845e-32,"Peds_Ctrl","GPD2"
"SPARCL1",2.30164719131246e-36,0.753322617067101,0.226,0.115,7.82882275653022e-32,"Peds_Ctrl","SPARCL1"
"RPL28",2.56462374892745e-36,0.646763635717772,0.188,0.085,8.72331121960184e-32,"Peds_Ctrl","RPL28"
"AC138512.1",2.57983711952223e-36,3.52002300493297,0.05,0.002,8.7750579783429e-32,"Peds_Ctrl","AC138512.1"
"ACTR1A",2.60222527082287e-36,0.891209583733448,0.172,0.074,8.85120903617691e-32,"Peds_Ctrl","ACTR1A"
