"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POGZ",2.38501935829639e-07,0.210668288259865,0.366,0.295,0.00811240484530935,"EC3","POGZ"
"CASC191",2.39396002183976e-07,0.583232032028399,0.089,0.055,0.00814281561828575,"EC3","CASC19"
"CDC42EP5",2.3966665973713e-07,0.468281798784814,0.15,0.105,0.00815202176429873,"EC3","CDC42EP5"
"KTN1",2.46966071117485e-07,0.182654932796263,0.533,0.46,0.00840030394299014,"EC3","KTN1"
"IER21",2.47087488064774e-07,0.33693091921429,0.287,0.226,0.00840443381903523,"EC3","IER2"
"TTC7A1",2.47293953595321e-07,0.668295880574827,0.089,0.056,0.00841145653759123,"EC3","TTC7A"
"BIRC6",2.50167611322696e-07,0.155948023258262,0.636,0.565,0.0085092011315302,"EC3","BIRC6"
"MOB2",2.50606292890734e-07,0.498279350607027,0.153,0.108,0.00852412244638543,"EC3","MOB2"
"ADIRF",2.5069905940959e-07,0.51110019998397,0.136,0.094,0.00852727780675778,"EC3","ADIRF"
"PRORP",2.52460887801559e-07,0.497297776326534,0.188,0.138,0.00858720463768223,"EC3","PRORP"
"PINK1",2.60755772012859e-07,0.439764957874604,0.096,0.06,0.0088693468292454,"EC3","PINK1"
"CTTN",2.61143100343903e-07,0.408618696582275,0.229,0.176,0.00888252141509752,"EC3","CTTN"
"GLCCI1",2.78081317262596e-07,0.531598384898437,0.116,0.077,0.00945865792536994,"EC3","GLCCI1"
"SPTAN1",2.80565905315728e-07,0.293322731766201,0.392,0.321,0.00954316870340919,"EC3","SPTAN1"
"PPRC1",2.84024402301041e-07,0.999950351233135,0.053,0.028,0.00966080601986762,"EC3","PPRC1"
"PIEZO1",2.8464161128149e-07,0.279596253374435,0.198,0.147,0.0096817997661286,"EC3","PIEZO1"
"ZC3H8",2.89606422757351e-07,0.60116500907957,0.091,0.057,0.00985067286366855,"EC3","ZC3H8"
"SENP5",2.94592414441883e-07,0.295288539699649,0.311,0.249,0.0100202663848262,"EC3","SENP5"
"SYNPO1",2.99306945977412e-07,0.330545562106736,0.213,0.16,0.0101806264604757,"EC3","SYNPO"
"PHTF2",3.01064329075808e-07,0.267753951807239,0.224,0.168,0.0102404020891845,"EC3","PHTF2"
